what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.codegen.ecore,2.4.2.v200902171115,org.eclipse.emf.codegen.ecore,1236068721221
started,bundle,org.eclipse.emf.ecore.edit,2.4.1.v200902171115,org.eclipse.emf.ecore.edit,1236068721221
started,bundle,org.eclipse.emf.codegen.ecore.ui,2.4.1.v200902171115,org.eclipse.emf.codegen.ecore.ui,1236068721221
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200902171115,org.eclipse.emf.ecore.xmi,1236068721752
started,bundle,org.eclipse.emf.codegen,2.4.0.v200902171115,org.eclipse.emf.codegen,1236068731586
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20090114-1205,org.eclipse.jdt.apt.core,1236068736229
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.101.R34x_v20081108-1950,org.eclipse.jdt.apt.pluggable.core,1236068736260
opened,editor,org.eclipse.emf.codegen.ecore.ui,2.4.1.v200902171115,org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID,1236068737136
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.4.1.v200902171115,org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID,1236068737167
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068737198
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1236068737214
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1236068737355
started,bundle,org.eclipse.emf.mint,0.7.1.v200809162149,org.eclipse.emf.mint,1236068774360
started,bundle,org.eclipse.emf.mint.ui,0.7.1.v200809162149,org.eclipse.emf.mint.ui,1236068774375
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1236068774578
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068775751
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068790228
started,bundle,org.eclipse.pde.build,3.4.1.R34x_v20081217,org.eclipse.pde.build,1236068795168
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068834924
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068858484
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068875822
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068887781
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068888719
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068970246
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068970293
