what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.bugs,1236069859945
stopped,bundle,org.eclipse.gef.examples.ui.pde,3.4.0.v20080226,org.eclipse.gef.examples.ui.pde,1236069859945
stopped,bundle,org.openarchitectureware.xpand2.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.xpand2.editor,1236069859945
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1236069859945
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.101.R34x_v20081108-1950,org.eclipse.jdt.apt.pluggable.core,1236069859945
stopped,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20090114-1205,org.eclipse.jdt.apt.core,1236069859945
stopped,bundle,org.eclipse.uml2.search.common.ui,0.7.0.v200806130939,org.eclipse.uml2.search.common.ui,1236069859945
stopped,bundle,org.eclipse.uml2.search.ui,0.7.0.v200806130939,org.eclipse.uml2.search.ui,1236069859945
stopped,bundle,org.eclipse.uml2.search.ocl,0.7.0.v200806130939,org.eclipse.uml2.search.ocl,1236069859945
stopped,bundle,org.eclipse.uml2.search,0.7.0.v200806130939,org.eclipse.uml2.search,1236069859945
stopped,bundle,org.eclipse.uml2.search.ocl.ui,0.7.0.v200806130939,org.eclipse.uml2.search.ocl.ui,1236069859945
stopped,bundle,org.eclipse.emf.search.ecore.ocl.ui,0.7.0.v200806130939,org.eclipse.emf.search.ecore.ocl.ui,1236069859945
stopped,bundle,org.eclipse.emf.search.ocl.ui,0.7.0.v200806130939,org.eclipse.emf.search.ocl.ui,1236069859945
stopped,bundle,org.eclipse.emf.search.ecore.ocl,0.7.0.v200806130939,org.eclipse.emf.search.ecore.ocl,1236069859945
stopped,bundle,org.eclipse.emf.search.ocl,0.7.0.v200806130939,org.eclipse.emf.search.ocl,1236069859945
stopped,bundle,org.eclipse.emf.search.common.ui,0.7.0.v200806130939,org.eclipse.emf.search.common.ui,1236069859945
stopped,bundle,org.eclipse.emf.search.genmodel,0.7.0.v200806130939,org.eclipse.emf.search.genmodel,1236069859945
stopped,bundle,org.eclipse.emf.search.common,0.7.0.v200806130939,org.eclipse.emf.search.common,1236069859945
stopped,bundle,org.eclipse.emf.search.ecore.ui,0.7.0.v200806130939,org.eclipse.emf.search.ecore.ui,1236069859945
stopped,bundle,org.eclipse.emf.search.ecore,0.7.0.v200806130939,org.eclipse.emf.search.ecore,1236069859945
stopped,bundle,org.eclipse.emf.search.ui,0.7.0.v200806130939,org.eclipse.emf.search.ui,1236069859945
stopped,bundle,org.eclipse.emf.search,0.7.0.v200806130939,org.eclipse.emf.search,1236069859945
stopped,bundle,org.eclipse.emf.workspace.ui,1.2.0.v200805130238,org.eclipse.emf.workspace.ui,1236069859945
stopped,bundle,org.eclipse.emf.workspace,1.2.3.v200902100421,org.eclipse.emf.workspace,1236069859960
stopped,bundle,org.eclipse.emf.transaction.ui,1.2.0.v200805130238,org.eclipse.emf.transaction.ui,1236069859960
