what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.openarchitectureware.adapter.emf.check,4.3.1.20090107-2000PRD,org.openarchitectureware.adapter.emf.check,1236072872434
stopped,bundle,org.openarchitectureware.adapter.rsdp,4.3.1.20090107-2000PRD,org.openarchitectureware.adapter.rsdp,1236072872465
stopped,bundle,org.openarchitectureware.adapter.rsdp.plugin,4.3.1.20090107-2000PRD,org.openarchitectureware.adapter.rsdp.plugin,1236072872575
stopped,bundle,org.openarchitectureware.check.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.check.editor,1236072872637
stopped,bundle,org.openarchitectureware.emf.generic.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.emf.generic.editor,1236072872794
stopped,bundle,org.openarchitectureware.xsd.plugin,4.3.1.20090107-2000PRD,org.openarchitectureware.xsd.plugin,1236072872903
stopped,bundle,org.openarchitectureware.emftools,4.3.1.20090107-2000PRD,org.openarchitectureware.emftools,1236072872950
stopped,bundle,org.openarchitectureware.uml2.adapter.plugin,4.3.1.20090107-2000PRD,org.openarchitectureware.uml2.adapter.plugin,1236072873028
stopped,bundle,org.openarchitectureware.xpand2.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.xpand2.editor,1236072873060
stopped,bundle,org.openarchitectureware.xtend.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.xtend.editor,1236072873060
stopped,bundle,org.openarchitectureware.xtext.ui,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.ui,1236072873060
stopped,bundle,org.openarchitectureware.base,4.3.1.20090107-2000PRD,org.openarchitectureware.base,1236072873075
stopped,bundle,org.openarchitectureware.graphviz.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.graphviz.editor,1236072873122
stopped,bundle,org.openarchitectureware.graphviz,4.3.1.20090107-2000PRD,org.openarchitectureware.graphviz,1236072873153
stopped,bundle,org.openarchitectureware.xtext.editor,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.editor,1236072873153
stopped,bundle,org.openarchitectureware.xtext.core,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.core,1236072873232
stopped,bundle,org.openarchitectureware.xtext.editor.base,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.editor.base,1236072873232
stopped,bundle,org.openarchitectureware.xtext.core.base,4.3.1.20090107-2000PRD,org.openarchitectureware.xtext.core.base,1236072873232
stopped,bundle,org.openarchitectureware.workflow,4.3.1.20090107-2000PRD,org.openarchitectureware.workflow,1236072873263
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1236072873263
